Resume,Job Role,Skills Required,Salary Estimate,Top Companies,Industry,Growth Path
"Experienced in REST API, Java, Microservices, Spring Boot and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in SDLC, Java, Data Structures, Algorithms and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Java, Algorithms, Data Structures, SDLC and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Wireframing, Figma, Adobe XD, User Research and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Spring Boot, Hibernate, REST API, Java and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Data Structures, System Design, SDLC, C++ and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in CSS, HTML, Node.js, JavaScript and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in CI/CD, AWS, Docker, Jenkins and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in C++, Java, System Design, SDLC and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in REST API, Flask, Django, PostgreSQL and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Figma, Wireframing, Prototyping, User Research and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Microservices, Hibernate, Java, Spring Boot and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Firebase, Jetpack Compose, Android Studio, Kotlin and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Pandas, Machine Learning, SQL, TensorFlow and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Algorithms, SDLC, Java, Data Structures and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Java, Algorithms, System Design, C++ and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in TensorFlow, Pandas, Data Visualization, Machine Learning and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Docker, Jenkins, Linux, AWS and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in System Design, Algorithms, SDLC, Java and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in TensorFlow, Machine Learning, Python, SQL and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Jetpack Compose, Kotlin, Android Studio, Firebase and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Spring Boot, Hibernate, Microservices, REST API and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in AWS, Docker, Kubernetes, Jenkins and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Data Visualization, Machine Learning, Python, SQL and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Java, Microservices, Hibernate, REST API and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in Express, React, JavaScript, HTML and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in Machine Learning, TensorFlow, Pandas, Data Visualization and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in REST API, PostgreSQL, Python, Flask and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Flask, Django, REST API, Python and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in React, Express, CSS, HTML and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in Django, Flask, PostgreSQL, Python and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Jetpack Compose, Android Studio, Firebase, Kotlin and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Prototyping, Figma, User Research, Adobe XD and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Node.js, Express, React, CSS and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in User Research, Figma, Adobe XD, Wireframing and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Express, JavaScript, React, Node.js and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in TensorFlow, SQL, Data Visualization, Machine Learning and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Figma, Adobe XD, Wireframing, User Research and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in HTML, CSS, React, Express and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in Algorithms, System Design, C++, Data Structures and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Data Visualization, SQL, Python, Machine Learning and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Figma, Adobe XD, User Research, Prototyping and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in PostgreSQL, Flask, REST API, Python and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Jetpack Compose, Firebase, Kotlin, Android Studio and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Node.js, CSS, React, HTML and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in Adobe XD, User Research, Wireframing, Prototyping and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in PostgreSQL, REST API, Python, Django and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Algorithms, Java, System Design, C++ and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in REST API, Flask, PostgreSQL, Django and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Firebase, Kotlin, Jetpack Compose, Android Studio and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Docker, AWS, Jenkins, Kubernetes and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Pandas, Python, TensorFlow, Machine Learning and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Spring Boot, Java, Microservices, REST API and other related tools.",Java Developer,"Java, Spring Boot, REST API, Microservices, Hibernate",₹5-14 LPA,"TCS, Infosys, Capgemini, Cognizant, Accenture","IT Services, Banking Software, Enterprise Solutions",Java Developer → Senior Java Developer → Technical Lead → Software Architect
"Experienced in SDLC, Data Structures, Java, C++ and other related tools.",Software Engineer,"C++, Java, System Design, SDLC, Algorithms, Data Structures",₹5-15 LPA,"Google, Microsoft, Oracle, IBM, Infosys","IT Services, Product Companies, MNCs",Software Engineer → Senior Software Engineer → Lead Engineer → Engineering Manager
"Experienced in Wireframing, Adobe XD, Prototyping, User Research and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Adobe XD, Wireframing, Figma, User Research and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in CI/CD, Docker, Kubernetes, Jenkins and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Firebase, Kotlin, Android Studio, Jetpack Compose and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Jetpack Compose, Kotlin, Firebase, Android Studio and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Jenkins, CI/CD, Docker, Kubernetes and other related tools.",DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux",₹6-16 LPA,"Amazon, Flipkart, ThoughtWorks, Accenture","Cloud Services, DevOps Consulting, Product Companies",DevOps Engineer → Senior DevOps → DevOps Lead → Cloud Architect
"Experienced in Figma, Wireframing, Prototyping, Adobe XD and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in Kotlin, Jetpack Compose, Firebase, Android Studio and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in TensorFlow, Data Visualization, SQL, Python and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in Python, Flask, Django, PostgreSQL and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Adobe XD, Figma, Prototyping, User Research and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in REST API, PostgreSQL, Flask, Django and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in CSS, HTML, JavaScript, React and other related tools.",Web Developer,"HTML, CSS, JavaScript, React, Node.js, Express",₹4-12 LPA,"Wipro, Cognizant, Accenture, Infosys, Mindtree","IT Services, Web Agencies, Product Companies",Web Developer → Senior Web Developer → Tech Lead → Frontend/Backend Architect
"Experienced in Firebase, Android Studio, Jetpack Compose, Kotlin and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in Pandas, Machine Learning, TensorFlow, Data Visualization and other related tools.",Data Scientist,"Python, Machine Learning, SQL, Pandas, TensorFlow, Data Visualization",₹8-18 LPA,"Google, Amazon, Microsoft, TCS, Infosys","IT Services, AI Startups, Product Companies",Data Scientist → Senior Data Scientist → ML Engineer → Data Science Manager
"Experienced in REST API, Flask, Django, PostgreSQL and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Kotlin, Android Studio, Jetpack Compose, Firebase and other related tools.",Android Developer,"Kotlin, Android Studio, Firebase, Jetpack Compose",₹4-10 LPA,"Swiggy, Zomato, Ola, Paytm, Byju’s","App Development, Startups, Product Companies",Android Developer → Senior Android Developer → Mobile Tech Lead → Product Manager
"Experienced in User Research, Prototyping, Adobe XD, Wireframing and other related tools.",UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing, User Research",₹3-8 LPA,"Zoho, Freshworks, Practo, Startups","Design Agencies, Product Startups, Consulting",UI/UX Designer → Senior Designer → Design Lead → Product Designer
"Experienced in PostgreSQL, Django, REST API, Python and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
"Experienced in Flask, PostgreSQL, Python, Django and other related tools.",Python Developer,"Python, Django, Flask, REST API, PostgreSQL",₹5-13 LPA,"Startups, Tech Mahindra, Capgemini, Mphasis","Backend Development, SaaS Companies",Python Developer → Senior Python Developer → Backend Lead → Technical Architect
